Name,TotalTime,RecipeCategory,Keywords,RecipeIngredientParts,RecipeInstructions,Calories
Filipino Noodles (Bihon Guisado),PT10M,One Dish Meal,"c(""Lunch/Snacks"", ""Vegetable"", ""Filipino"", ""Asian"", ""Low Protein"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""Kid Friendly"", ""Kosher"", ""< 15 Mins"", ""Easy"")","c(""shallots"", ""garlic cloves"", ""Chinese cabbage"", ""carrots"", ""cucumbers"", ""water"", ""light soy sauce"", ""salt"", ""white pepper"", ""parsley"", ""limes"")","c(""Heat oil in wok."", ""Fry shallots and garlic until aromatic."", ""Add cabbage, carrots and cucumber. Stir fry 1 minute."", ""Add vermicelli and fry 1 minute."", ""Add water."", ""Season with soy sauce, salt and pepper."", ""Stir fry two minutes."", ""If adding cooked chicken do so now with the parsley."", ""Dish up and sprinkle over fried shallots and serve with half a lime for each person."")",394.1
Filipino Style Bubur Cha-Cha,PT20M,Dessert,"c(""Yam/Sweet Potato"", ""Potato"", ""Vegetable"", ""Filipino"", ""Asian"", ""Kid Friendly"", ""Kosher"", ""< 30 Mins"")","c(""sweet potatoes"", ""tapioca"", ""coconut milk"", ""bananas"", ""coconut milk"", ""sugar"", ""salt"")","c(""Steam sweet potato and taro."", ""Boil cassava in a pot with the thin coconut milk."", ""Cook until cassava is tender and translucent."", ""Add sweet potato, taro, jackfruit and banana."", ""Add thick coconut milk and season to taste with sugar and salt."", ""If you wish to thicken mix a tablespoon of tapioca flour with some water and add to pot."", ""Stir and bring to boil before turning off heat."", ""Serve warm."")",627.1
Caramelised Tapioca Pudding,PT1H25M,Dessert,"c(""Filipino"", ""Asian"", ""Kid Friendly"", ""Kosher"", ""< 4 Hours"")","c(""tapioca"", ""eggs"", ""butter"", ""sugar"", ""salt"", ""tapioca flour"", ""coconut milk"", ""flour"", ""brown sugar"", ""coconut milk"")","c(""Combine pudding ingredients and stir to mix well."", ""Pour mixture into foil lined 20cm pan and bake in preheated oven 160 Degrees C for 35 - 40 minutes."", ""Top pudding with either Topping 1 or Topping 2."", ""For topping 1: Mix condensed milk and flour in pot stirring continuously until mixture is thick."", ""Lower heat and qucickly whisk in the egg yolk."", ""Cook for two more minutes before pouring over pudding."", ""Grill over high heat to brown top for 2 minutes."", ""For Topping 2, mix togtether ingredients. Pour mixture over pudding and bake for another 25 minutes.""
)",815.8
Adobo Ni Hazel,PT30M,One Dish Meal,"c(""Pork"", ""Meat"", ""Filipino"", ""Asian"", ""High Protein"", ""High In..."", ""< 30 Mins"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""pork"", ""chicken"", ""garlic"", ""onions"", ""soy sauce"", ""vinegar"")","c(""Cook pork until golden brown."", ""Add cooking oil with crushed garlic and onion."", ""Bring to boil."", ""Add soy sauce and vinegar."")",677.7
Pineapple Carrot Cake,PT1H15M,Dessert,"c(""Pineapple"", ""Cheese"", ""Tropical Fruits"", ""Fruit"", ""Cajun"", ""Filipino"", ""Asian"", ""For Large Groups"", ""Beginner Cook"", ""< 4 Hours"", ""Easy"")","c(""all-purpose flour"", ""baking powder"", ""baking soda"", ""salt"", ""sugar"", ""eggs"", ""vanilla flavoring"", ""carrots"", ""crushed pineapple"", ""lemon juice"", ""cream cheese"", ""butter"", ""confectioners' sugar"", ""vanilla flavoring"", ""lemon juice"")","c(""Preheat the oven to 350 degrees F. Grease a 13 x 9 x 2 rectangular pan.  set aside."", ""Sift together flour, baking powder, baking soda, and salt.  In a bowl, combine the oil and sugar.  Add eggs, one at a time, beating and mixing.  Stir in vanilla.  Stir in lemon juice.  Add the carrots.  mix well.  Add the fry ingredients and the crushed pineapple with juice.  Mix well.  Pour into your prepared pan and bake for 35 minutes or until done.  Set aside to cool before frosting."", ""Cream cheese filing:"", 
""In a bowl, beat cream cheese and butter until soft.  Add sugar and mix well.  Add vanilla and lemon juice and mix well.  Continue to mix well until soft and fluffy.  Put in refrigerator to chill while cake is cooling.   When cake is cooled, frost and enjoy with cold glass of milk."")",445.6
Green Beans &amp; Mushroom,PT40M,Onions,"c(""Vegetable"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""Easy"")","c(""green beans"", ""mushroom"", ""onion"", ""garlic cloves"", ""soy sauce"", ""roma tomato"")","c(""Turn heat on pot and add oil.  When hot, add onions and garlic and fry for a minute or two."", ""Add tomatoes and fry for a minute or two."", ""Add green beans and continue to fry for 2 or 3 minutes until done."", ""Add mushrooms and continue to cook until done."", ""Add soy sauce and continue to cook until cooked."")",131.9
Escabeche (Sweet and Sour Fish),PT35M,One Dish Meal,"c(""Lunch/Snacks"", ""Filipino"", ""Asian"", ""< 60 Mins"")","c(""red snapper"", ""salt"", ""ground pepper"", ""soy sauce"", ""apple cider vinegar"", ""white vinegar"", ""water"", ""brown sugar"", ""onion"", ""garlic"", ""ginger"", ""carrot"", ""red bell pepper"", ""scallion"", ""flour"")","c(""Clean the fish and slit it open. Let it stand for few minutes and drain well."", ""Sprinkle fish with 1 tbsp salt."", ""In a medium skillet, heat the oil and fry the fish until brown. Remove the fish from the pan and set aside."", ""In the same skillet, sauté the garlic until light brown, then sauté onion."", ""Add salt and white pepper. Stir in ginger, scallions, carrot and red bell pepper."", ""Add soy sauce, vinegar, water and sugar. Salt and pepper to taste."", ""When the mixture boils, add flour to thicken. Then, add the fish."", 
""Cover the skillet and simmer for 5 minutes."")",556.1
Mamon (Filipino Sponge Cake),PT25M,Dessert,"c(""Lunch/Snacks"", ""Grains"", ""Filipino"", ""Asian"", ""Lactose Free"", ""Kid Friendly"", ""Kosher"", ""Free Of..."", ""Sweet"", ""Brunch"", ""< 30 Mins"", ""For Large Groups"", ""Oven"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""cake flour"", ""white sugar"", ""baking powder"", ""vanilla"", ""eggs"", ""cream of tartar"")","c(""Preheat oven to 350°F."", ""Sift flour and baking powder in bowl; set aside."", ""In a another large bowl, beat egg white and cream of tartar until meringue-like but not stiff."", ""Gradually add sugar while beating. Then, add vanilla and vegetable oil."", ""Add egg yolks one at a time and continue beating."", ""Add cake flour and baking powder and continue mixing."", ""Line muffin pans with paper cups and pour mixture about 2/3 full."", ""Bake 12 to 15 minutes or until golden brown. Finished when toothpick comes out clean.""
)",122.6
Steamed Mamon (Filipino Sponge Cake),PT28M,Breads,"c(""Dessert"", ""Grains"", ""Filipino"", ""Asian"", ""Healthy"", ""Kid Friendly"", ""Sweet"", ""Brunch"", ""< 30 Mins"", ""For Large Groups"", ""Steam"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""all-purpose flour"", ""salt"", ""milk"", ""water"", ""baking powder"", ""vanilla"", ""eggs"", ""sugar"")","c(""Cream salt with yolks and add sugar slowly until consumed."", ""Combine milk and water. Add flour and baking powder. Mix well. Add vanilla. Mix some more."", ""Beat egg white and fold with the batter."", ""Pour into ungreased muffin pan. Steam for 15 - 20 minutes."")",73.9
Karioka (Filipino Chewy Balls) With Sweet Sugar Sauce,PT20M,Lunch/Snacks,"c(""Rice"", ""Filipino"", ""Asian"", ""Vegan"", ""Kosher"", ""Sweet"", ""Brunch"", ""< 30 Mins"", ""Beginner Cook"", ""Deep Fried"", ""Easy"", ""Inexpensive"")","c(""coconut milk"", ""coconut"", ""brown sugar"")","c(""DOUGH: Mix 2 cups of mochiko and 2 cups of coconut milk together. Mixture will be very wet. Add macapuno to the dough."", ""Make into 1\"" to 1 1/2\"" balls and deep fry. (TIP: while forming, using two spoons. Then, immediately put into frying pan)."", ""SAUCE: Boil 1 cup coconut milk and brown sugar until sticky. Dip karioka into the sauce and eat or pour/drizzle the sauce on the karioka. Skewer. Some people don't like their karioka sweet so they just roll/dust brown sugar on top of the karioka while its hot.""
)",137.1
Filipino Lumpia ( Egg Roll ) With Sweet &amp; Sour Sauce,PT30M,Filipino,"c(""Asian"", ""< 30 Mins"")","c(""ground pork"", ""garlic cloves"", ""onion"", ""soy sauce"", ""vinegar"", ""salt"", ""fresh ground pepper"", ""carrots"", ""green beans"", ""bamboo shoot"", ""bean sprouts"", ""water"", ""ketchup"", ""sugar"", ""salt"", ""cornstarch"")","c(""In a large skillet, brown pork meat, remove juices. Leave enough pork oil/juices for the vegetables."", ""Sauté onion and garlic."", ""Add salt and pepper. Stir. (may add more to taste)."", ""Add soy sauce and vinegar. Let it boil. Don't stir."", ""Add carrots, green beans, bamboo shoots, and bean sprouts. Stir."", ""Simmer for 5 minutes. Remove from heat."", ""Place 1 tbsp of mixture into one corner of wrapper, fold over bringing in the two sides. Roll up halfway, tightly, and fold ends inward. Brush top corner with egg wash and fold over."", 
""Deep fry 'till brown. Serve with sweet and sour sauce."", ""To make the sauce, mix all the ingredients. Bring to a boil and simmer until sauce thickens, about 5 minutes."")",337.3
Beef Caldereta,PT1H5M,One Dish Meal,"c(""Roast Beef"", ""Meat"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""beef"", ""water"", ""onion"", ""garlic clove"", ""bell pepper"", ""tomato sauce"", ""tomato paste"", ""liver"", ""cheese"", ""Tabasco sauce"", ""bay leaves"", ""potatoes"", ""carrots"")","c(""Boil the beef until tender, in the water to make a nice beef broth.  Add pineapple juice and onion,."", ""In a separate pan sauté garlic until almost brown. Add to beef and broth."", ""Add the tomato sauce and tomato paste and allow to simmer for ten minutes."", ""Add bay leaves, bell pepper, carrots, and potatoes."", ""Simmer until potatoes and carrots are tender, then add cheese and salt and pepper to taste."", ""Add optional Tabasco sauce."", ""Cook until cheese is melted, stir."", ""Remove bay leaves."", 
""Add water if the mixture is too thick."", ""Serve hot on individual servings of a bed of cooked rice."")",1250.6
Lumpia (Asian),PT1H30M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""For Large Groups"", ""Stove Top"", ""< 4 Hours"")","c(""pork"", ""shrimp"", ""water chestnut"", ""green onion"", ""salt"", ""black pepper"", ""eggs"", ""soy sauce"", ""lumpia skins"")","c(""Combine first eight ingredients and let stand in refrigerator for 30 minutes."", ""Place a wrapper on a large plate. Spread 2 tablespoons of the meat mixture in a thick line on the wrapper edge closest to you."", ""Starting with this edge, roll it over the meat mixture once. Fold the two edges to the right and left of the mixture toward each other until they're snug against the roll of meat."", ""Continue to roll the wrapper until it becomes a tight cylinder. Seal the edge of the wrapper to the roll with a little water."", 
""Repeat with remaining wrappers."", ""This makes a lot, so freeze what you don't want to fry up right now.  Layer in a freezer bag, and separate each layer with parchment paper."", ""Deep fry as many as you need in hot oil and drain on paper towel."", ""Serve with sweet and sour or dipping sauce."")",335.5
Filipino Adobo,PT1H15M,Stew,"c(""One Dish Meal"", ""Chicken"", ""Pork"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Very Low Carbs"", ""Lactose Free"", ""Egg Free"", ""Free Of..."", ""Savory"", ""Brunch"", ""< 4 Hours"", ""Easy"")","c(""distilled white vinegar"", ""cider vinegar"", ""water"", ""garlic"", ""salt"", ""bay leaves"", ""fresh coarse ground black pepper"", ""chicken"", ""soy sauce"")","c(""Add vinegar, water, garlic, salt, bay leaves and pepper into a large casserole. Bring to a boil. Add the meat, cover and bring to a boil. Simmer and cook for about 30 minutes. Sprinkle liberally with soy sauce and cook for an additional 10 minutes."", ""Remove meat and reduce sauce."", ""Remove sauce to a bowl."", ""Put oil into the casserole and brown cooked meat. Drain oil from the casserole, and return the reduced sauce back with the meat."", ""Serve hot or cold with warm rice."")",334.8
Spicy Noodles With Ginger and Fresh Vegetables,PT55M,Thai,"c(""Filipino"", ""Indonesian"", ""Asian"", ""Spicy"", ""< 60 Mins"")","c(""carrots"", ""zucchini"", ""green onions"", ""fresh ginger"", ""garlic"", ""water"", ""canned unsweetened coconut milk"", ""reduced sodium soy sauce"", ""Thai red curry paste"", ""peanuts"", ""fresh mint leaves"")","c(""Cut carrots, zucchini and green onions into matchstick-size strips."", ""Heat vegetable oil in large skillet over high heat. Add 2 tablespoons ginger and 1 1/2 teaspoons garlic; sauté until fragrant, 30 seconds. Add carrots, zucchini, half of green onions and sesame oil; sauté 2 minutes. Add remaining ginger and garlic; sauté until vegetables are crisp-tender, about 1 minute longer."", ""Using slotted spoon, transfer vegetables to bowl."", ""Reduce heat to medium. Add 1 1/4 cups water, coconut milk, soy sauce and curry paste to same skillet. Stir until smooth. Simmer until sauce is reduced to 1 1/4 cups, about 6 minutes. Add sautéed vegetables and remaining onions."", 
""Meanwhile, cook somen in large pot of boiling salted water until just tender, about 2 minutes. Drain. Transfer to large bowl."", ""Add vegetable mixture. Toss to coat. Sprinkle nuts and mint over."")",296.4
Greg's Pork Asado,PT35M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Savory"", ""Sweet"", ""< 60 Mins"", ""Beginner Cook"", ""Stove Top"", ""Easy"")","c(""water"", ""sugar"", ""soy sauce"", ""bay leaf"", ""salt"", ""pepper"")","c(""Cut the pork into 2-3 inch pieces."", ""Mix the water, sugar and soy sauce in a large frying pan. Add the bay leaf and bring it up to medium high heat."", ""Lay pork pieces in the sauce, cover and cook on medium (keep it low enough that the sauce doesn’t boil over; adding additional small amounts of water and soy if needed.) Cook for 10-15 minutes and flip the pork, cooking an additional 10 -15 minutes until done which will depend on the thickness of the pork."", ""Serve the pork over a bed of rice, removing the bay leaf, drizzling the sauce over it and seasoning with salt and pepper to taste.""
)",105.2
Filipino Fried Rice,PT24H15M,Pork,"c(""Vegetable"", ""Meat"", ""Filipino"", ""Asian"")","c(""bacon"", ""green pepper"", ""onion"", ""cabbage"", ""carrots"", ""garlic cloves"", ""cooked rice"", ""soy sauce"")","c(""In a wok fry bacon until crisp.  Drain well."", ""Re-heat wok."", ""Add the pepper, onion, cabbage, carrots and garlic.  Stir-fry 3 minutes."", ""Add pork.  Cook 1 minute."", ""Add rice.  Cook 1 minute."", ""stir in peas and soy sauce.  Cook 30 seconds."")",728.2
Carne Frita,PT1H30M,Steak,"c(""Meat"", ""Filipino"", ""Asian"", ""Mexican"", ""Stove Top"", ""< 4 Hours"", ""Easy"")","c(""vinegar"", ""dark soy sauce"", ""garlic cloves"", ""black peppercorns"", ""water"", ""salt"")","c(""Slice sirloin  1/8 inch thick."", ""In a saucepan put in the meat, vinegar, soy sauce, garlic,laurel leaf and peppercorns.  Boil the meat over low heat.  Leave uncovered until the smell of vinegar dissipates, DO NOT STIR."", ""Add water when needed."", ""Cover and let simmer until meat is very tender."", ""Season with salt."", ""Slice the white onions into rings."", ""In a frying pan, saute the onions till wilted.  Remove from pan."", ""Put in the meat, reserve the liquid it was boiled inches"", ""Brown the meat.  Add the reserved liquid.  Let it simmer till liquid has been reduced."", 
""Transfer meat to a platter, pour sauce over.  Top with sauteed onions.  Serve hot with Jasmine rice."")",416.1
Special Meatball Pasta,PT1H30M,One Dish Meal,"c(""Lunch/Snacks"", ""Spaghetti"", ""Filipino"", ""Asian"", ""European"", ""Potluck"", ""Savory"", ""Stove Top"", ""< 4 Hours"", ""Easy"", ""Inexpensive"")","c(""ground beef round"", ""garlic cloves"", ""carrot"", ""green beans"", ""spring onion"", ""egg"", ""coarse salt"", ""ground black pepper"", ""cornstarch"", ""pasta"", ""canola oil"", ""olive oil"", ""garlic clove"", ""onions"", ""tomatoes"", ""green bell peppers"", ""button mushrooms"", ""tomato sauce"", ""tomato paste"", ""beef bouillon cube"", ""cheese"", ""mixed herbs"", ""water"")","c(""For the Meatballs:Mix all the ingredients thoroughly until you are able to form balls."", ""Deep fry meatballs in canola oil & drain well on paper towels, set aside. ( you can test for saltiness or general taste by frying a small meatball & adjusting recipe to your taste accordingly)."", ""For the Pasta Sauce:In a saucepan, saute garlic & onions in oil, add tomatoes & cover for 4-5 minutes."", ""Add the mushrooms & bell peppers (with 1-minute intervals in between) -- add hotdogs.Keep the sauce covered for 3 minutes."", 
""Pour in the tomato sauce. Simmer covered for 5 minutes, add the tomato paste & simmer for another 5 minutes."", ""Drop in the beef cube, once beef cube is dissolved, add the meatballs; once mixture starts to boil --  add the condensed milk, grated cheese, salt & pepper, as well as the mixed herbs (preferably oregano, paprika, etc.).Season accordingly. You may add hot sauce to perk up the taste of the sauce if you desire. Use the water to adjust thickness or consistency of sauce.Make sure that after the initial boil that you keep the fire low and keep the sauce simmering for 10 minutes or so. This will help your sauce keep for days in the refrigerator. If you want  to set some sauce aside for later use, make sure that the sauce is at room temperature before placing in a plastic container, & then place it in the freezer. This way, the sauce will keep for a month or so."", 
""Just cook pasta according to package instructions. Pour sauce mixture over pasta & sprinkle with parmesan cheese. Enjoy with your favorite wheat bread with tuna or chicken filling."")",1856.2
Mung Bean Hopia - Filipino Chinese Pastry,PT12H20M,Dessert,"c(""Lunch/Snacks"", ""Beans"", ""Chinese"", ""Filipino"", ""Asian"", ""Low Cholesterol"", ""Healthy"", ""Inexpensive"")","c(""sugar"", ""salt"", ""all-purpose flour"", ""canola oil"", ""all-purpose flour"", ""canola oil"", ""water"", ""egg"")","c(""**One 14-oz package of dried peeled split yellow mung beans makes 35 hopia. Dough recipe is for 18 hopia. It is best to cook the entire package and freeze the unused portion**."", ""MUNG BEAN PASTE FILLING."", ""In medium glass bowl, soak beans in water for 4 hours at room temperature. You can soak overnight, but place bowl in fridge to prevent bean sprouting."", ""After soaking, drain yellow water and rinse beans well. Transfer beans to medium saucepan, add fresh water about 1/8-inch above beans, and bring to boil. When beans start to soften, scoop out foamy water on top and reduce heat to medium. Continue cooking into a paste, stirring often to prevent burning. Use a wooden spoon to mash down the beans in the saucepan."", 
""When only a few intact beans remain, remove from heat and transfer paste into a microwave-proof dish or bowl. Use a potato masher to mash down the paste until very smooth. A food processor might be easier, but I haven't tried that yet."", ""Sprinkle the salt over the paste and mix well. Then add the sugar gradually, adjusting to taste. When sweet enough for you, spread paste into an even layer in the same dish and microwave on high for 5 minutes to \""dry\"" it out. The goal is for the paste to dry out enough to shape it into a ball, but not too dried out that it crumbles or burns. Set aside to cool and proceed with the doughs."", 
""DOUGH #1."", ""In a small bowl, make a well in center of flour and add oil. Combine with fork until LOOSE, coarse crumbs form; set aside."", ""DOUGH #2."", ""In a separate medium bowl, make a well in center of flour. In separate small cup, first whisk oil and water together, then pour into center of flour. Combine with fork until dough takes shape. Divide into 4 parts."", ""Flatten each part into a square about 1/8-inch thick. Do NOT flour work surface, as there is enough oil in the dough to prevent it from sticking."", 
""ASSEMBLE HOPIA."", ""For each of the flattened squares, do the following: Crumble 1/4 of Dough #1 on top of Dough #2; spread crumbs evenly but leave space about 1/2-inch from the perimeter of Dough #2 so Dough #1 does not fall off the edges."", ""Gently roll up square with your fingers like a jelly roll. Pinch the ends a tiny bit so none of Dough #1 falls out. Repeat process with remainder of flattened squares."", ""Gently roll each jelly roll back and forth under your palms, stretching into a cylinder about 1-inch in diameter. Then place cylinders on top of paper towel and chill and rest in fridge for 30 minutes, to absorb excess oil. (Do not chill overnight; dough will harden.)."", 
""After chilled rest time is up, preheat oven to 375°F."", ""Take the chilled cylinders and cut each into 5 pieces. Flatten each piece into a very thin square a bit less than 1/8-inch thick. Place a small scoop of mung bean paste in center of square. Fold edges and pinch into a ball. Place ball pinched side down onto an UN-greased cookie sheet and flatten just slightly, but not so much that the pastry skin cracks open."", ""Brush tops with beaten egg, and bake at 375°F for 20 minutes, or until BOTTOMS are slightly brown."", 
""Recommended: Store leftover hopia in Tupperware with piece of bread to keep the pastry soft. But if pastry hardens, microwave hopia for 30 seconds on High."")",265.6
Asian BBQ Ribs,PT3H30M,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Beginner Cook"", ""Easy"")","c(""hoisin sauce"", ""soy sauce"", ""sugar"", ""ketchup"", ""garlic"")","c(""preheat oven to 275."", ""place ribs in a large baking pan."", ""mix remainder of ingredients in a seperate bowl and pour over ribs."", ""refrigerate for 1 hour."", ""bake for 1 hour."", ""turn heat to 375 and bake for 45 minutes or add to grill and grill until done."", ""plate and enjoy."")",1195.7
Buko Salad,PT2H10M,Dessert,"c(""Tropical Fruits"", ""Fruit"", ""Filipino"", ""Asian"", ""Beginner Cook"", ""< 4 Hours"", ""Easy"")","c(""heavy cream"", ""coconut"")","""Combine all ingredients leave in the freezer for 2 hours.""",1134.5
Puto,PT20M,Dessert,"c(""White Rice"", ""Rice"", ""Filipino"", ""Asian"", ""Toddler Friendly"", ""Kid Friendly"", ""Potluck"", ""Sweet"", ""Steam"")","c(""rice"", ""water"", ""baking powder"", ""white sugar"", ""sugar"", ""coconut"")","c(""You may use long grain."", ""In a heavy duty blender, puree soaked rice in water until very fine."", ""Pour in a bowl; add sugar and 2 teaspoons baking powder."", ""Mix well and set aside."", ""Beat egg whites until stiff."", ""Add 2 tablespoons sugar to keep the air in the beaten egg whites."", ""Fold the egg whites into the beaten rice batter and pour into muffin pans."", ""Steam for about 20 minutes or until done. (Optional: Sprinkle a few anise seeds on top of the puto) Serve with grated coconut."", ""Note: You may use basket steamer in a wok half filled with water.""
)",587.2
Islands Chicken &amp; Pork Filipino Adobo,PT2H,One Dish Meal,"c(""Chicken Thigh & Leg"", ""Chicken"", ""Pork"", ""Poultry"", ""Meat"", ""Thai"", ""Filipino"", ""Asian"", ""Lactose Free"", ""Egg Free"", ""Free Of..."", ""Spicy"", ""Savory"", ""< 4 Hours"", ""Easy"")","c(""chicken thighs"", ""olive oil"", ""onion"", ""garlic cloves"", ""bay leaves"", ""water"", ""rice vinegar"", ""Kikkoman soy sauce"", ""coconut milk"")","c(""In large heavy deep frying pan, melt Crisco."", ""Fry pork steak until slightly browned on each side. Set on a plate."", ""Fry chicken thighs until slightly browned on each side. Set on a plate."", ""Pour water in frying pan, and loosen any meat particles."", ""Add onions, garlic, bay leaves, 1 dried red pepper,rice vinegar, soy sauce and coconut milk."", ""Cook on low heat 15 minutes. Stir from time to time. Take out dried red pepper. Throw away."", ""Preheat oven 325*."", ""In baking pan with cover, add browned meat."", 
""Add with sauce. Bake 1 1/2 hours."", ""Throw away bay leaves before serving. I like to make a platter of rice and put chicken and pork with sauce on top. I also serve lemon slices dipped in salt. Placed on the side of the platter."")",528.2
Lumpia-Stuffed Wrappers (Lumpia Labong),PT1H30M,Pork,"c(""Vegetable"", ""Meat"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""garlic cloves"", ""onion"", ""pork"", ""shrimp"", ""bamboo shoots"", ""Chinese cabbage"", ""salt"", ""fresh bean sprout"", ""lumpia skins"", ""lettuce"", ""cornstarch"", ""brown sugar"", ""soy sauce"", ""water"")","c(""Prepare sauce: Combine all sauce ingredients in a small saucepan. Stir over medium heat until slightly thickened."", ""Heat 2 TBSP oil in a wok or large skillet. Add garlic and onion; saute until transparent. Add pork, shrimp, bamboo shoots, cabbage, and salt. Stir-fry 2 to 3 minutes, adding more oil if needed. Stir in bean sprouts; keep warm."", ""Keep wrappers covered until used. Top each wrapper with a lettuce leaf and 1 to 2 tablespoons filling; fold end of wrapper over stem-end of lettuce. Roll wrapper and filling, with some of the lettuce and filling extending from open end of wrapper."", 
""In wok or skillet, heat about 1\"" of peanut oil to 375ºF. Fry lumpia, 2 or 3 at a time, until golden brown, turning frequently. Drain lumpia on paper towels."", ""Arrange filled wrappers on a platter. Serve with Lumpia Sauce."")",157
Easy White Puto,PT20M,Quick Breads,"c(""Breads"", ""Filipino"", ""Asian"", ""Healthy"", ""< 30 Mins"", ""Easy"")","c(""Bisquick"", ""milk"", ""sugar"", ""egg"")","c(""Combine all the above ingredients into a bowl.  Grease a backing tin of small muffin cups or use cupcake liners."", ""Pour the Puto mix in each on to half full.  Place inside a larger pan with at least an inch of water, and cover with foil.  Place in 350 degree oven and steam approximately 8 to 10 minutes.  Remove and serve."")",124.8
Egg Balls (Yema),PT20M,Dessert,"c(""Filipino"", ""Asian"")","c(""milk"", ""sugar"", ""vanilla extract"", ""confectioners' sugar"")","c(""In a saucepan, simmer milk over low heat until it is reduced to 1 cup."", ""Stir in sugar until well blended. Turn off heat and let cool."", ""Mix 3 tablespoons of the simmered milk with the egg yolks and then add this mixture gradually to the milk in the pan."", ""Stir in vanilla extract and continue stirring over low heat until mixture thickens."", ""Remove from heat and let cool."", ""Shape into balls, using one tablespoon of the mixture to make one ball."", ""Roll finished balls in confectioner's sugar.""
)",440.6
Chicken Adobo,PT40M,Chicken,"c(""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"")","c(""chicken"", ""salt"", ""pepper"", ""bay leaf"", ""vinegar"", ""garlic cloves"")","c(""Clean and cut chicken into pieces."", ""Season with salt and pepper."", ""Place in a saucepan and add bay leaf, garlic, and vinegar.  Let simmer until tender."", ""If water is needed, add 1/2 cup hot water at a time."", ""When the meat is tender, add the oil and saute until brown.  Serve hot."")",316
Ginger Tea Salabat,PT10M,Beverages,"c(""Filipino"", ""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""Easy"")","c(""fresh ginger"", ""water"", ""brown sugar"")","c(""Boil all ingredients together."", ""Add more water if too strong."")",127.2
Coconut Rice (Mochi-Bibinka) Philippines,PT1H15M,Dessert,"c(""Short Grain Rice"", ""Rice"", ""Coconut"", ""Fruit"", ""Nuts"", ""Southwest Asia (middle East)"", ""Filipino"", ""Asian"", ""Healthy"", ""For Large Groups"", ""< 4 Hours"", ""Easy"")","c(""rice"", ""coconut milk"", ""dark brown sugar"")","c(""Rinse rice and cook in rice cooker.  In saucepan combine coconut milk and 1 1/4 cups of the brown sugar.  Cook over medium heat stirring constantly until thickened, about 20 minutes.  Preheat oven to 350 degrees F."", ""Put cooked rice into a large bowl.  Reserving 1/2 cup of coconut mixture, stir remainder and remaining brown sugar evenly into hot rice.  Put into pans that are prepared by greasing them.  Top with reserved 1/2 cup of coconut milk mixture.  Bake for 20 minutes the broil for 5 minutes to set topping.  Cut into small pieces.""
)",139
Avocado Milkshakes,PT10M,Dessert,"c(""Filipino"", ""Asian"", ""Low Protein"", ""< 15 Mins"", ""Easy"")","c(""avocado"", ""sugar"", ""vanilla ice cream"")","c(""Combine all ingredients together in a blender, and blend well."", ""Pour into nice tall glasses, and garnish with a little whipped cream and a mint sprig."", ""Enjoy!"")",807.6
Peanut Squares - Philippine,PT55M,Candy,"c(""Dessert"", ""Fruit"", ""Nuts"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""For Large Groups"", ""Beginner Cook"", ""Easy"")","c(""roasted peanuts"", ""sugar"", ""milk"", ""sugar"")","c(""Put the peanuts through a meat grinder with a medium blade.  Then place them in a saucepan with the 1/2 cup of sugar and the milk.  Mix well."", ""Place the peanut mixture over medium flame and cook, stir constantly, until the mixture boils and the sugar dissolves."", ""Lower the flame and cook, stir often,until the mixture thickens.  As the mixture gets very thick, stir continually, to prevent sticking.  This will take about 15 minutes."", ""When the mixture is so thich that you can see the bottom of the pan when you stir, remove from the stove."", 
""Sprinkle the 1/4 cup sugar on the pastry board.  Turn the peanut mixture out onto the sugar and flatten it out with a spatula.  Allow to cool so you can handle it."", ""Roll it out with a rolling pin until the mixture is about 1/4 inch thick.  With a knife, cut the mixture into small squares or with a cookie cutter."", ""Remove the squares from the board with a metal spatula."")",56.2
Kutsinta - Philippines Brown Rice Cake,PT45M,Dessert,"c(""Rice"", ""Filipino"", ""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 60 Mins"", ""Easy"")","c(""brown sugar"", ""water"", ""water"", ""coconut"")","c(""In a mixing bowl, combine all the ingredients and mix well."", ""Pour into muffin cups, until half full."", ""Steam in a large pan with a cover; the water should be 2 inches deep."", ""Cook for 30 minutes or until a toothpick inserted comes out clean."", ""Add more water if needed until cooking is done."", ""Remove from the muffin pans and serve with freshly grated coconut."")",559.3
